,favorite_count,retweet_count,tweet_id
0,38612,8542,892420643555336193
1,33105,6277,892177421306343426
2,24922,4159,891815181378084864
3,42020,8658,891689557279858688
4,40164,9417,891327558926688256
5,20140,3115,891087950875897856
6,11806,2075,890971913173991426
7,65246,18922,890729181411237888
8,27678,4273,890609185150312448
9,31820,7434,890240255349198849
10,30555,7348,890006608113172480
11,27667,4980,889880896479866881
12,47929,10080,889665388333682689
13,27067,4552,889638837579907072
14,15041,2240,889531135344209921
15,25182,5428,889278841981685760
16,28971,4505,888917238123831296
17,25485,4354,888804989199671297
18,19820,3588,888554962724278272
19,21675,3500,888078434458587136
20,30065,5403,887705289381826560
21,46054,11688,887517139158093824
22,68830,18252,887473957103951883
23,33549,10414,887343217045368832
24,30424,5970,887101392804085760
25,35015,7777,886983233522544640
26,12018,3294,886736880519319552
27,22324,4468,886680336477933568
28,21114,3198,886366144734445568
29,116,4,886267009285017600
30,27866,6286,886258384151887873
31,0,104,886054160059072513
32,32582,6811,885984800019947520
33,35856,6429,885528943205470208
34,20343,3760,885518971528720385
35,0,18593,885311592912609280
36,21865,4382,885167619883638784
37,77182,18444,884925521741709313
38,27833,5792,884876753390489601
39,24206,4868,884562892145688576
40,26878,5650,884441805382717440
41,72705,20450,884247878851493888
42,20306,2985,884162670584377345
43,21816,3442,883838122936631299
44,45762,9963,883482846933004288
45,22485,3678,883360690899218434
46,37084,6674,883117836046086144
47,23864,3918,882992080364220416
48,28208,4923,882762694511734784
49,27789,6097,882627270321602560
50,44806,11604,882268110199369728
51,29246,4986,882045870035918850
52,24214,3400,881906580714921986
53,50381,10680,881666595344535552
54,128,7,881633300179243008
55,49264,15999,881536004380872706
56,22995,5168,881268444196462592
57,16945,2785,880935762899988482
58,21217,3827,880872448815771648
59,28413,6292,880465832366813184
60,26982,4243,880221127280381952
61,27532,4369,880095782870896641
62,22244,3505,879862464715927552
63,311,10,879674319642796034
64,23324,3190,879492040517615616
65,105529,44250,879415818425184262
66,16717,3125,879376492567855104
67,0,6857,879130579576475649
68,22513,4728,879050749262655488
69,18905,2701,879008229531029506
70,19352,4148,878776093423087618
71,30170,7247,878604707211726852
72,0,1299,878404777348136964
73,0,6673,878316110768087041
74,7738,1299,878281511006478336
75,41909,6857,878057613040115712
76,79575,19196,877736472329191424
77,0,81,877611172832227328
78,22696,3832,877556246731214848
79,27296,5191,877316821321428993
80,27054,5620,877201837425926144
81,20612,3369,876838120628539392
82,23391,4636,876537666061221889
83,18713,2410,876484053909872640
84,27848,4710,876120275196170240
85,25133,4313,875747767867523072
86,21865,4952,875144289856114688
87,27359,6070,875097192612077568
88,25435,4745,875021211251597312
89,27794,4680,874680097055178752
90,0,14864,874434818259525634
91,26027,4137,874296783580663808
92,22623,3978,874057562936811520
93,34630,10542,874012996292530176
94,24224,3974,873580283840344065
95,0,1601,873337748698140672
96,7244,1601,873213775632977920
97,27375,5454,872967104147763200
98,14721,3721,872820683541237760
99,0,28,872668790621863937
100,20787,3743,872620804844003328
101,40714,9094,872486979161796608
102,34264,6399,872261713294495745
103,34491,8216,872122724285648897
104,38110,11343,871879754684805121
105,20294,3515,871762521631449091
106,20252,3498,871515927908634625
107,0,5770,871166179821445120
108,20984,5574,871102520638267392
109,22713,3858,871032628920680449
110,33749,6310,870804317367881728
111,120,3,870726314365509632
112,12480,2685,870656317836468226
113,83020,26649,870374049280663552
114,21921,4223,870308999962521604
115,36875,8505,870063196459192321
116,42647,10225,869772420881756160
117,28411,6442,869702957897576449
118,16083,3194,869596645499047938
119,20589,3862,869227993411051520
120,66153,14828,868880397819494401
121,0,2144,868639477480148993
122,27460,5900,868622495443632128
123,10248,2144,868552278524837888
124,24404,4268,867900495410671616
125,34349,7508,867774946302451713
126,16317,2578,867421006826221569
127,0,130,867072653475098625
128,32615,8070,867051520902168576
129,20320,4955,866720684873056260
130,19574,3582,866686824827068416
131,123826,36189,866450705531457537
132,53295,14864,866334964761202691
133,0,8616,866094527597207552
134,25939,5768,865718153858494464
135,26841,5144,865359393868664832
136,28404,7902,865006731092295680
137,32787,8991,864873206498414592
138,14847,3134,864279568663928832
139,30656,9228,864197398364647424
140,20955,4273,863907417377173506
141,15546,4304,863553081350529029
142,0,2556,863471782782697472
143,24215,5437,863432100342583297
144,2299,99,863427515083354112
145,8915,1136,863079547188785154
146,8681,2556,863062471531167744
147,19537,5258,862831371563274240
148,17390,3656,862722525377298433
149,20925,5135,862457590147678208
150,75994,24139,862096992088072192
151,36771,11083,861383897657036800
152,17528,4321,861288531465048066
153,17069,3947,861005113778896900
154,0,2245,860981674716409858
155,0,846,860924035999428608
156,7665,2245,860563773140209665
157,24120,5471,860524505164394496
158,18696,3612,860276583193509888
159,17042,6061,860184849394610176
160,0,32141,860177593139703809
161,19960,4259,859924526012018688
162,15748,3638,859851578198683649
163,19019,1638,859607811541651456
164,92013,31495,859196978902773760
165,34690,14168,859074603037188101
166,0,8480,858860390427611136
167,15912,3623,858843525470990336
168,22052,5051,858471635011153920
169,16133,3037,858107933456039936
170,16527,2700,857989990357356544
171,35148,11092,857746408056729600
172,6082,1711,857393404942143489
173,20551,4735,857263160327368704
174,236,20,857214891891077121
175,0,178,857062103051644929
176,19448,4187,857029823797047296
177,0,11210,856602993587888130
178,16730,3021,856543823941562368
179,12158,1971,856526610513747968
180,0,712,856330835276025856
181,531,17,856288084350160898
182,28485,6630,856282028240666624
183,358,28,855862651834028034
184,5161,1091,855860136149123072
185,12188,2229,855857698524602368
186,46796,18608,855851453814013952
187,27392,5734,855818117272018944
188,30894,8675,855459453768019968
189,0,6303,855245323840757760
190,0,48,855138241867124737
191,23605,6453,854732716440526848
192,30329,7275,854482394044301312
193,19564,4966,854365224396361728
194,33091,7946,854120357044912130
195,16771,3336,854010172552949760
196,29674,6147,853760880890318849
197,36214,10770,853639147608842240
198,16129,3784,853299958564483072
199,0,2157,852936405516943360
200,9403,1958,852912242202992640
201,15523,2289,852672615818899456
202,17038,3746,852553447878664193
203,34503,10548,852311364735569921
204,20846,7272,852226086759018497
205,11937,1683,852189679701164033
206,0,10300,851953902622658560
207,0,23,851861385021730816
208,16893,3702,851591660324737024
209,25329,7562,851464819735769094
210,21575,6124,851224888060895234
211,32452,9949,850753642995093505
212,13645,2798,850380195714523136
213,3579,357,850333567704068097
214,17071,4100,850145622816686080
215,21419,5252,850019790995546112
216,31898,8160,849776966551130114
217,0,5326,849668094696017920
218,16624,3371,849412302885593088
